"Date","Date","Min°F","Avg°F","Max°F","AvgDP°F","AvgRH%","AvgLWu.","AvgDir°","AvgSpeedmph","MaxGustmph","Avg 2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin","AvgAtm.PressinHg"
"2020/04/01","1","34.6","43.2","52.3","29.7","59.9","0.02","SW","4.5","14.2","NA","50.8","51.8","0.00","10.53","0.08","0.11","30.06"
"2020/04/02","2","25.4","41.8","54.9","24.5","54.9","0.06","SW","4.5","18.5","NA","48.0","49.8","0.00","17.16","0.10","0.13","30.18"
"2020/04/03","3","30.2","43.9","57.3","24.0","49.4","0.01","SW","7.3","25.0","NA","48.4","49.9","0.00","18.44","0.13","0.19","30.06"
"2020/04/04","4","25.8","43.8","56.1","24.7","51.6","0.03","N","4.0","13.2","NA","48.0","49.7","0.00","18.21","0.10","0.14","29.84"
"2020/04/05","5","40.8","49.6","60.3","35.0","59.1","0.00","N","4.7","13.9","NA","50.7","51.9","0.00","16.95","0.11","0.15","29.70"
"2020/04/06","6","36.5","52.8","67.9","34.2","53.4","0.00","SW","4.1","14.2","NA","51.5","53.1","0.00","16.53","0.13","0.17","29.86"
"2020/04/07","7","36.4","55.9","72.2","27.2","41.1","0.02","W","5.3","17.8","NA","52.6","54.3","0.00","19.67","0.17","0.25","30.08"
"2020/04/08","8","33.9","54.0","72.1","24.6","36.3","0.00","NE","3.2","13.2","NA","53.5","55.3","0.00","20.99","0.15","0.20","30.24"
"2020/04/09","9","35.1","55.2","75.3","26.8","40.2","0.00","SE","2.5","8.5","NA","53.9","55.9","0.00","21.57","0.14","0.19","30.10"
"2020/04/10","10","37.8","61.1","80.5","34.8","43.4","0.02","NW","4.6","22.5","NA","55.3","57.2","0.00","19.21","0.18","0.26","29.93"
"2020/04/11","11","45.0","57.7","65.0","24.6","31.5","0.00","N","7.7","21.4","NA","58.0","59.3","0.00","20.44","0.19","0.28","30.04"
"2020/04/12","12","36.8","47.4","60.2","18.4","35.0","0.00","N","4.8","15.0","NA","56.3","58.1","0.00","21.63","0.15","0.21","30.30"
"2020/04/13","13","29.9","48.5","64.7","13.5","29.2","0.00","SE","4.0","16.4","NA","54.6","56.6","0.00","22.85","0.15","0.21","30.37"
"2020/04/14","14","38.6","58.9","73.6","25.3","31.5","0.00","SW","5.5","22.1","NA","55.6","57.3","0.00","19.30","0.19","0.27","30.20"
"2020/04/15","15","46.9","60.5","66.7","34.4","38.0","0.00","N","8.2","24.6","NA","58.9","59.8","0.00","19.55","0.18","0.26","30.17"
"2020/04/16","16","33.2","51.3","65.5","23.7","39.0","0.00","N","4.1","16.4","NA","57.5","59.4","0.00","23.10","0.15","0.21","30.30"
"2020/04/17","17","36.1","56.6","76.9","23.8","36.2","0.02","S","5.3","21.4","NA","56.8","58.8","0.00","23.46","0.21","0.30","29.97"
"2020/04/18","18","44.0","57.8","73.5","36.4","47.2","0.00","S","4.5","19.6","NA","58.5","60.0","0.00","18.99","0.16","0.23","29.87"
"2020/04/19","19","44.4","58.7","72.8","39.9","53.4","0.05","S","3.3","15.0","NA","59.1","60.8","0.00","22.83","0.16","0.20","30.02"
"2020/04/20","20","42.6","61.1","77.9","37.5","47.7","0.13","S","3.6","14.2","NA","60.1","61.9","0.00","23.32","0.18","0.24","30.03"
"2020/04/21","21","42.1","61.4","76.2","33.9","41.1","0.02","W","4.8","18.5","NA","61.4","63.1","0.00","23.51","0.19","0.27","30.13"
"2020/04/22","22","44.8","55.5","66.5","44.7","67.6","0.11","SW","6.1","25.7","NA","62.0","62.9","0.04","9.37","0.10","0.15","30.12"
"2020/04/23","23","47.5","60.3","73.1","39.5","52.8","0.20","W","6.2","21.4","NA","60.0","61.2","0.00","19.55","0.18","0.26","30.15"
"2020/04/24","24","44.9","57.3","71.4","40.6","58.0","0.00","SE","3.2","16.4","NA","60.4","61.8","0.00","16.42","0.13","0.17","30.20"
"2020/04/25","25","46.5","61.3","75.9","41.4","52.9","0.02","SW","6.5","25.7","NA","60.9","62.1","0.00","13.08","0.17","0.25","30.06"
"2020/04/26","26","38.9","60.4","74.3","28.9","37.4","0.01","SW","4.2","23.5","NA","60.7","62.3","0.00","22.02","0.18","0.25","30.06"
"2020/04/27","27","54.4","66.1","76.9","37.0","35.4","0.03","SW","9.8","30.7","NA","63.0","63.7","0.00","21.47","0.26","0.39","30.02"
"2020/04/28","28","41.1","60.4","74.8","40.6","50.4","0.02","E","3.5","11.4","NA","61.0","62.7","0.00","20.06","0.15","0.20","30.23"
"2020/04/29","29","50.1","66.8","81.3","39.7","39.5","0.00","W","5.6","23.9","NA","62.9","64.3","0.00","17.88","0.21","0.30","29.96"
"2020/04/30","30","48.2","63.8","73.1","34.2","37.9","0.00","W","9.1","23.5","NA","65.3","66.3","0.00","22.85","0.24","0.34","30.00"