"Date","Date","Min°F","Avg°F","Max°F","AvgDP°F","AvgRH%","AvgLWu.","AvgDir°","AvgSpeedmph","MaxGustmph","Avg 2 in.°F","Min°F","Avg°F","TotPrecin","TotalSolarRadMJ/m²","EToin","ETrin"
"2020/04/01","1","26.7","37.3","49.2","28.2","72.0","0.02","W","5.7","15.7","NA","43.0","45.1","0.00","15.50","0.08","0.10"
"2020/04/02","2","24.3","37.8","50.4","20.4","53.2","0.01","W","5.4","16.4","NA","41.5","44.4","0.00","19.53","0.10","0.14"
"2020/04/03","3","26.7","38.8","52.0","22.4","56.7","0.00","SW","10.1","28.6","NA","42.2","45.0","0.00","19.06","0.12","0.18"
"2020/04/04","4","25.5","41.1","52.0","22.2","51.0","0.00","NE","3.9","14.6","NA","42.2","45.3","0.00","19.59","0.10","0.13"
"2020/04/05","5","37.5","45.3","56.2","34.4","68.3","0.00","N","5.4","15.3","NA","45.7","47.7","0.00","14.91","0.10","0.13"
"2020/04/06","6","29.9","47.5","61.8","32.1","59.2","0.01","W","6.2","18.2","NA","44.9","48.3","0.00","22.00","0.13","0.18"
"2020/04/07","7","37.1","51.5","67.3","27.6","44.8","0.00","SW","8.0","19.2","NA","47.0","50.2","0.00","21.99","0.18","0.27"
"2020/04/08","8","31.4","51.7","68.0","25.1","41.2","0.00","N","5.7","14.2","NA","47.6","50.7","0.00","22.43","0.17","0.24"
"2020/04/09","9","35.6","54.4","70.9","27.2","38.3","0.00","NW","4.7","11.0","NA","48.6","51.8","0.00","22.82","0.17","0.24"
"2020/04/10","10","41.5","57.8","74.7","33.9","42.9","0.00","W","6.7","23.2","NA","49.9","53.3","0.00","21.23","0.20","0.29"
"2020/04/11","11","36.0","49.6","58.4","22.4","42.9","0.01","N","13.6","34.3","NA","52.0","53.3","0.00","20.67","0.18","0.28"
"2020/04/12","12","28.5","42.4","55.0","15.2","38.3","0.00","N","5.5","23.2","NA","48.0","50.9","0.00","23.62","0.14","0.19"
"2020/04/13","13","24.7","43.9","59.6","10.8","31.3","0.00","NW","6.4","21.0","NA","46.7","49.8","0.00","23.82","0.16","0.23"
"2020/04/14","14","37.0","53.0","67.6","25.7","36.7","0.00","SW","7.6","20.3","NA","48.4","51.6","0.00","17.79","0.18","0.27"
"2020/04/15","15","42.5","52.5","59.7","33.0","48.6","0.00","N","11.8","31.8","NA","51.7","53.5","0.00","21.68","0.17","0.24"
"2020/04/16","16","37.4","49.0","60.2","20.6","35.2","0.00","E","6.5","17.5","NA","50.0","52.8","0.00","24.40","0.17","0.24"
"2020/04/17","17","31.1","51.1","69.6","25.2","40.5","0.00","S","7.1","23.2","NA","49.4","52.8","0.00","24.35","0.20","0.28"
"2020/04/18","18","44.0","56.0","68.1","36.9","51.0","0.01","W","5.5","15.0","NA","52.5","55.1","0.00","18.97","0.15","0.21"
"2020/04/19","19","39.1","52.9","67.4","41.1","68.8","0.15","S","4.6","13.5","NA","53.0","56.0","0.00","21.75","0.14","0.18"
"2020/04/20","20","38.1","56.5","71.7","39.1","56.0","0.01","S","4.5","15.0","NA","53.3","56.9","0.00","24.81","0.16","0.21"
"2020/04/21","21","43.5","56.1","69.3","34.7","48.4","0.00","W","11.7","26.8","NA","54.9","57.7","0.00","24.41","0.22","0.32"
"2020/04/22","22","40.5","49.5","56.8","45.7","87.5","0.30","S","6.0","17.1","NA","54.4","55.9","0.06","9.28","0.06","0.07"
"2020/04/23","23","45.8","55.7","67.8","39.8","59.8","0.11","W","10.8","26.4","NA","53.2","55.7","0.00","22.31","0.19","0.27"
"2020/04/24","24","39.7","52.4","64.6","40.9","68.7","0.05","S","4.2","16.7","NA","53.1","56.5","0.00","19.95","0.13","0.16"
"2020/04/25","25","42.9","54.7","68.2","43.1","68.8","0.04","SW","8.3","24.6","NA","54.8","56.5","0.00","12.19","0.13","0.19"
"2020/04/26","26","39.8","54.3","66.9","32.1","46.8","0.00","SW","5.8","18.2","NA","53.6","57.2","0.00","23.53","0.17","0.24"
"2020/04/27","27","48.8","59.9","72.0","36.3","43.3","0.00","SW","13.3","32.5","NA","56.7","59.2","0.00","24.12","0.26","0.38"
"2020/04/28","28","35.9","55.6","67.6","36.2","50.9","0.01","E","4.5","13.2","NA","55.4","59.2","0.00","21.71","0.15","0.19"
"2020/04/29","29","46.4","60.4","73.1","41.7","52.0","0.00","NW","6.1","15.7","NA","57.7","60.6","0.00","17.90","0.17","0.24"
"2020/04/30","30","45.0","56.8","66.4","37.4","52.8","0.00","W","11.2","26.8","NA","59.0","61.4","0.00","22.95","0.20","0.28"