"Date","Date","Min°C","Avg°C","Max°C","Avg1.5m DP°C","Avg1.5m RH%","5 cm°C","Min°C","Avg°C","TotPrecmm","TotalSolarRadMJ/m²","ETomm","ETrmm"
"2022/04/01","1","-2.7","6.5","13.5","-1.7","58.3","11.0","9.5","11.2","0.00","19.88","2.69","3.68"
"2022/04/02","2","3.3","9.3","15.6","-1.3","52.9","11.8","10.5","11.6","1.02","21.54","4.09","6.02"
"2022/04/03","3","0.6","8.2","15.7","-0.1","58.1","11.2","9.9","11.3","0.00","16.32","3.13","4.50"
"2022/04/04","4","2.7","8.8","13.4","-0.5","55.2","11.4","10.9","11.7","1.27","19.57","3.83","5.76"
"2022/04/05","5","-1.0","6.1","13.2","-5.3","48.3","10.1","8.8","10.4","0.00","22.55","3.99","5.94"
"2022/04/06","6","-3.7","6.0","13.5","-5.1","50.1","11.0","8.5","10.6","0.00","21.98","2.93","3.95"
"2022/04/07","7","-0.7","9.4","19.5","-1.8","48.9","12.9","10.0","11.9","0.00","21.23","4.04","5.79"
"2022/04/08","8","3.8","9.9","17.4","-1.5","48.7","13.2","11.7","12.9","0.00","18.86","4.69","7.08"
"2022/04/09","9","-0.8","5.6","11.7","-4.0","53.5","11.4","10.5","11.8","0.00","22.35","3.65","5.39"
"2022/04/10","10","-1.2","2.7","7.9","-0.8","79.5","10.1","9.8","10.8","3.30","15.32","1.76","2.20"
"2022/04/11","11","0.1","1.2","2.1","-0.6","88.5","5.9","6.9","8.5","5.08","5.70","0.72","0.99"
"2022/04/12","12","-1.0","2.2","6.4","-1.9","75.3","6.2","6.1","6.8","0.00","16.21","1.82","2.33"
"2022/04/13","13","-0.9","3.1","7.9","-2.4","70.2","6.6","5.9","7.1","0.25","15.62","2.17","2.99"
"2022/04/14","14","-1.6","0.4","2.7","-0.7","92.6","5.4","5.9","6.6","2.03","14.60","1.12","1.24"
"2022/04/15","15","-2.9","2.0","7.9","-1.7","79.1","6.2","4.6","6.3","0.25","17.97","1.92","2.35"
"2022/04/16","16","0.1","2.2","5.1","-0.6","82.3","5.6","5.9","6.5","2.03","6.73","1.19","1.65"
"2022/04/17","17","-1.6","4.8","10.5","-1.2","68.2","7.4","4.7","6.6","0.00","23.51","2.66","3.47"
"2022/04/18","18","3.0","7.4","12.4","1.6","67.8","9.0","7.3","8.5","0.76","11.98","2.44","3.44"
"2022/04/19","19","0.5","6.0","11.7","0.5","69.9","9.2","7.4","8.8","0.00","17.93","2.57","3.48"
"2022/04/20","20","-1.7","6.4","13.8","1.9","76.7","8.8","6.9","8.5","4.32","15.35","2.30","3.03"
"2022/04/21","21","3.1","8.7","14.3","3.6","74.1","10.7","8.5","9.9","2.29","19.46","2.81","3.63"
"2022/04/22","22","0.1","8.0","15.8","2.6","71.4","11.8","8.5","10.7","0.76","24.09","3.27","4.25"
"2022/04/23","23","1.4","9.6","16.6","1.9","61.6","12.9","9.5","11.7","0.00","25.04","3.52","4.50"
"2022/04/24","24","2.2","11.2","18.9","0.8","53.7","13.6","10.6","12.7","0.00","24.46","4.05","5.40"
"2022/04/25","25","6.9","12.4","17.7","5.0","61.8","13.7","12.1","13.3","0.00","14.56","3.24","4.47"
"2022/04/26","26","5.0","9.7","15.5","0.3","56.4","14.3","12.3","13.7","0.00","23.77","4.15","5.75"
"2022/04/27","27","2.1","7.7","13.7","-0.1","59.6","13.3","11.7","13.3","0.00","20.75","3.12","4.07"
"2022/04/28","28","1.2","8.1","14.4","-0.1","59.0","13.4","11.6","13.1","0.00","20.46","3.18","4.19"
"2022/04/29","29","1.4","9.4","16.1","0.1","56.1","14.0","11.5","13.4","0.00","25.59","3.90","5.22"
"2022/04/30","30","6.9","9.5","12.0","6.8","84.5","13.6","13.1","13.8","4.06","8.65","1.53","1.86"
"2022/05/01","1","3.8","11.2","18.3","6.2","74.4","15.1","12.0","13.9","0.00","28.16","3.87","4.73"
"2022/05/02","2","6.4","9.2","12.9","6.4","82.7","14.0","13.5","14.4","0.51","12.14","1.99","2.49"
"2022/05/03","3","3.2","12.3","20.1","5.4","66.6","14.9","12.0","14.1","0.00","26.80","4.23","5.47"